pair,symbol,direction,expiry,entry_price,close_price,result,pnl_pct,entry_time,strategy,confidence,session
USD/JPY OTC,#USDJPY_otc,SELL,1m,162.555,162.55,WIN,0.00308,2026-04-01 13:46:40,level_touch,63.1,BEAR
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34589,1.34602,LOSS,-0.00966,2026-04-01 13:48:20,level_touch,63.4,BEAR
USD/CAD OTC,#USDCAD_otc,SELL,1m,1.37942,1.37976,LOSS,-0.02465,2026-04-01 13:48:20,ema_bounce,66.5,BEAR
EUR/USD OTC,#EURUSD_otc,SELL,1m,1.13957,1.13978,LOSS,-0.01843,2026-04-01 13:49:10,level_touch,65.6,NEUTRAL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,114.411,114.372,LOSS,-0.03409,2026-04-01 13:49:10,level_touch,66.8,NEUTRAL
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.84158,0.84103,WIN,0.06535,2026-04-01 13:49:10,level_touch,65.6,NEUTRAL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.79526,0.79584,WIN,0.07293,2026-04-01 13:49:10,level_breakout,56.3,NEUTRAL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86885,0.86918,WIN,0.03798,2026-04-01 13:49:10,level_touch,64.7,NEUTRAL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.786,109.76,LOSS,-0.02368,2026-04-01 13:49:10,level_breakout,56.1,NEUTRAL
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.19495,1.19722,LOSS,-0.18997,2026-04-01 13:50:00,level_touch,66.8,NEUTRAL
USD/JPY OTC,#USDJPY_otc,BUY,1m,162.507,162.527,WIN,0.01231,2026-04-01 13:50:00,level_touch,61.6,NEUTRAL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,201.209,201.27,WIN,0.03032,2026-04-01 13:50:00,level_touch,64.7,NEUTRAL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30838,18.30924,WIN,0.0047,2026-04-01 13:52:30,ema_bounce,58.9,BULL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,114.505,114.565,WIN,0.0524,2026-04-01 13:52:30,level_touch,66.0,BULL
EUR/GBP OTC,#EURGBP_otc,BUY,1m,0.86892,0.86926,WIN,0.03913,2026-04-01 13:52:30,level_touch,64.7,BULL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0075024,0.0075016,LOSS,-0.01066,2026-04-01 13:54:10,level_touch,63.4,NEUTRAL
EUR/CHF OTC,#EURCHF_otc,SELL,1m,0.84168,0.84185,LOSS,-0.0202,2026-04-01 13:54:10,level_touch,68.1,NEUTRAL
GBP/AUD OTC,#GBPAUD_otc,BUY,1m,1.95765,1.95747,LOSS,-0.00919,2026-04-01 13:54:10,level_touch,57.2,NEUTRAL
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.51834,0.5195,LOSS,-0.22379,2026-04-01 13:54:10,level_breakout,55.2,NEUTRAL
NZD/JPY OTC,#NZDJPY_otc,SELL,1m,90.832,90.887,LOSS,-0.06055,2026-04-01 13:54:10,level_touch,64.4,NEUTRAL
AUD/NZD OTC,#AUDNZD_otc,SELL,1m,1.19551,1.19675,LOSS,-0.10372,2026-04-01 13:55:00,level_touch,66.4,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,BUY,1m,1.34631,1.3458,LOSS,-0.03788,2026-04-01 13:55:00,level_touch,65.1,NEUTRAL
USD/JPY OTC,#USDJPY_otc,BUY,1m,162.506,162.469,LOSS,-0.02277,2026-04-01 13:55:00,level_touch,61.6,NEUTRAL
AUD/JPY OTC,#AUDJPY_otc,BUY,1m,109.877,109.911,WIN,0.03094,2026-04-01 13:55:00,level_breakout,55.2,NEUTRAL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,114.548,114.52,LOSS,-0.02444,2026-04-01 13:55:50,level_touch,66.0,NEUTRAL
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.55916,0.55972,LOSS,-0.10015,2026-04-01 13:56:40,level_breakout,56.7,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.3459,1.34686,LOSS,-0.07133,2026-04-01 13:58:20,level_touch,61.1,NEUTRAL
USD/JPY OTC,#USDJPY_otc,SELL,1m,162.398,162.374,WIN,0.01478,2026-04-01 13:58:20,level_touch,64.7,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.67472,0.67419,LOSS,-0.07855,2026-04-01 13:59:10,level_touch,64.7,BULL
BHD/CNY OTC,#BHDCNY_otc,BUY,1m,18.30976,18.31116,WIN,0.00765,2026-04-01 13:59:10,ema_bounce,75,BULL
KES/USD OTC,#KESUSD_otc,BUY,1m,0.0075041,0.0075054,WIN,0.01732,2026-04-01 13:59:10,ema_bounce,64.9,BULL
CHF/JPY OTC,#CHFJPY_otc,BUY,1m,201.24,201.164,LOSS,-0.03777,2026-04-01 13:59:10,level_touch,64.7,BULL
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.95679,1.95517,WIN,0.08279,2026-04-01 14:00:00,level_touch,64.2,NEUTRAL
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.55989,0.55987,WIN,0.00357,2026-04-01 14:00:00,level_breakout,57.0,NEUTRAL
EUR/USD OTC,#EURUSD_otc,BUY,1m,1.14008,1.13994,LOSS,-0.01228,2026-04-01 14:01:40,level_touch,70.5,NEUTRAL
AUD/USD OTC,#AUDUSD_otc,BUY,1m,0.67389,0.67341,LOSS,-0.07123,2026-04-01 14:02:30,level_touch,61.9,NEUTRAL
AUD/CAD OTC,#AUDCAD_otc,BUY,1m,0.96151,0.96101,LOSS,-0.052,2026-04-01 14:02:30,level_touch,70.8,NEUTRAL
CAD/JPY OTC,#CADJPY_otc,BUY,1m,114.392,114.306,LOSS,-0.07518,2026-04-01 14:02:30,level_touch,61.5,NEUTRAL
GBP/USD OTC,#GBPUSD_otc,SELL,1m,1.34561,1.34558,WIN,0.00223,2026-04-01 14:02:30,level_touch,63.4,NEUTRAL
USD/CHF OTC,#USDCHF_otc,BUY,1m,0.79482,0.79452,LOSS,-0.03774,2026-04-01 14:02:30,level_touch,69.1,NEUTRAL
AUD/CHF OTC,#AUDCHF_otc,SELL,1m,0.52099,0.51971,WIN,0.24569,2026-04-01 14:02:30,level_touch,64.9,NEUTRAL
GBP/AUD OTC,#GBPAUD_otc,SELL,1m,1.95526,1.95446,WIN,0.04092,2026-04-01 14:03:20,level_touch,59.8,NEUTRAL
NZD/USD OTC,#NZDUSD_otc,SELL,1m,0.55956,0.55985,LOSS,-0.05183,2026-04-01 14:04:10,ema_bounce,83,BEAR
